"LGA","lga_pid","population","active","cases","rate","new","band","LGADisplay","data_date"
"Alpine (S)","VIC242",12814,0,1,0,0,0,"Alpine","28/08/2020"
"Ararat (RC)","VIC220",11845,1,7,8.4,0,1,"Ararat","28/08/2020"
"Ballarat (C)","VIC241",109505,6,61,5.5,0,1,"Ballarat","28/08/2020"
"Banyule (C)","VIC188",131631,30,434,22.8,0,2,"Banyule","28/08/2020"
"Bass Coast (S)","VIC173",36320,0,11,0,0,0,"Bass Coast","28/08/2020"
"Baw Baw (S)","VIC194",53396,1,15,1.9,0,1,"Baw Baw","28/08/2020"
"Bayside (C)","VIC182",106862,71,222,66.4,1,3,"Bayside","28/08/2020"
"Benalla (RC)","VIC199",14037,0,3,0,0,0,"Benalla","28/08/2020"
"Boroondara (C)","VIC201",183199,29,254,15.8,2,1,"Boroondara","28/08/2020"
"Brimbank (C)","VIC189",209523,273,1890,130.3,10,4,"Brimbank","28/08/2020"
"Buloke (S)","VIC183",6124,0,0,0,0,0,"Buloke","28/08/2020"
"Campaspe (S)","VIC239",37622,3,9,8,1,1,"Campaspe","28/08/2020"
"Cardinia (S)","VIC212",112159,31,185,27.6,0,2,"Cardinia","28/08/2020"
"Casey (C)","VIC213",353872,143,913,40.4,2,2,"Casey","28/08/2020"
"Central Goldfields (S)","VIC169",13186,1,2,7.6,0,1,"Central Goldfields","28/08/2020"
"Colac-Otway (S)","VIC224",21564,9,99,41.7,0,2,"Colac-Otway","28/08/2020"
"Corangamite (S)","VIC231",16020,0,2,0,0,0,"Corangamite","28/08/2020"
"Darebin (C)","VIC205",164184,169,622,102.9,4,4,"Darebin","28/08/2020"
"East Gippsland (S)","VIC243",47316,2,5,4.2,0,1,"East Gippsland","28/08/2020"
"Frankston (C)","VIC227",142643,46,223,32.2,1,2,"Frankston","28/08/2020"
"Gannawarra (S)","VIC214",10472,0,2,0,0,0,"Gannawarra","28/08/2020"
"Glen Eira (C)","VIC177",156511,20,199,12.8,2,1,"Glen Eira","28/08/2020"
"Glenelg (S)","VIC223",19674,0,20,0,0,0,"Glenelg","28/08/2020"
"Golden Plains (S)","VIC230",23722,0,18,0,0,0,"Golden Plains","28/08/2020"
"Greater Bendigo (C)","VIC193",118093,16,102,13.5,1,1,"Greater Bendigo","28/08/2020"
"Greater Dandenong (C)","VIC247",168201,105,454,62.4,1,3,"Greater Dandenong","28/08/2020"
"Greater Geelong (C)","VIC215",258934,59,352,22.8,0,2,"Greater Geelong","28/08/2020"
