Name,Type,Cases
Ararat,RC,1
Ballarat,C,10
Banyule,C,64
Bass Coast,S,2
Baw Baw,S ,5
Bayside,C,26
Benalla,RC,3
Boroondara,C,56
Brimbank,C,26
Campaspe,S,2
Cardinia,S,9
Casey,C,37
Central Goldfields,S,1
Corangamite,S,1
Darebin,C,27
East Gippsland,S,1
Frankston,C,33
Gannawarra,S,1
Glen Eira,C,45
Gelnelg,S,1
Golden Plains,S,1
Greater Bendigo,C,10
Greater Dandenong,C,11
Greater Geelong,C,54
Greater Shepparton,C,8
Hepburn,S,2
Hobsons Bay,C,13
Horsham,RC,2
Hume,C,31
Kingston,C,16
Knox,C,12
Latrobe,C,5
Loddon,S,1
Macedon Ranges,S,5
Manningham,C,20
Mansfield,S,2
Maribyrnong,C,10
Maroondah,C,9
Melbourne,C,47
Melton,C,18
Mildura,RC,3
Mitchell ,S,9
Moira,S,10
Monash,C,38
Moonee Valley,C,30
Moorabool,S,1
Moreland,C,45
Mornington Peninsula,S,52
Mount Alexander,S,6
Moyne,S,1
Murrindindi,S,1
Nillumbik,S,18
Northern Grapmians,S,3
Port Phillip,C,38
South Gippsland,S,3
Southern Grampian,S,3
Stonnington,C,84
Strathbogie,S,2
Surf Coast ,S,9
Swan Hill,RC,2
Wangaratta,RC,1
Warnambool,C,5
Wellington,S,6
West Wimmera,S,1
Whitehorse,C,19
Whittlesea,C,15
Wodonga,RC,1
Wyndham,C,28
Yarra,C,21
Yarra Ranges,S,19
Yarriambiack,S,1
