Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
10050,Albury (C),971,5,956,5,960,3,961,6,51076
10130,Armidale Regional (A),980,6,976,7,958,3,1015,9,29449
10250,Ballina (A),1003,8,987,8,998,7,999,8,41790
10300,Balranald (A),942,3,927,3,969,4,915,2,2287
10470,Bathurst Regional (A),986,6,973,7,993,6,978,7,41300
10550,Bega Valley (A),976,6,951,5,982,5,959,6,33253
10600,Bellingen (A),966,5,954,5,975,5,990,8,12668
10650,Berrigan (A),954,4,935,4,968,4,941,4,8462
10750,Blacktown (C),986,6,993,8,1011,8,968,6,336962
10800,Bland (A),973,5,954,5,1003,7,951,5,5955
10850,Blayney (A),982,6,965,6,1011,8,953,5,7257
10900,Blue Mountains (C),1045,9,1042,9,1039,9,1070,9,76904
10950,Bogan (A),950,4,938,4,971,4,945,5,2692
11100,Botany Bay (C),1001,7,1028,9,968,4,1029,9,46654
11150,Bourke (A),916,2,932,3,924,2,992,8,2634
11200,Brewarrina (A),757,1,818,1,768,1,943,4,1651
11250,Broken Hill (C),901,2,887,2,918,2,895,2,17708
11300,Burwood (A),999,7,1043,9,944,2,1067,9,36809
11350,Byron (A),1003,8,1003,8,995,7,1047,9,31556
11400,Cabonne (A),1010,8,997,8,1043,9,991,8,13386
11450,Camden (A),1056,10,1056,9,1104,10,1003,8,78218
11500,Campbelltown (C) (NSW),950,4,948,5,977,5,932,4,157006
11520,Canada Bay (A),1068,10,1107,10,1020,9,1120,10,88015
11570,Canterbury-Bankstown (A),935,3,961,6,956,3,967,6,346302
11600,Carrathool (A),976,5,964,6,989,6,955,5,2719
11650,Central Coast (C) (NSW),989,6,975,7,1001,7,970,6,327736
11700,Central Darling (A),817,1,855,1,855,1,931,4,1833
11720,Cessnock (C),925,3,904,2,967,4,879,1,55560
11730,Clarence Valley (A),926,3,908,2,953,3,918,3,50671
11750,Cobar (A),968,5,951,5,980,5,927,3,4647
11800,Coffs Harbour (C),967,5,954,5,974,5,960,6,72944
12000,Coolamon (A),977,6,960,6,1013,8,965,6,4315
12150,Coonamble (A),869,1,883,2,916,2,928,3,3918
12350,Cowra (A),924,2,910,2,958,3,915,2,12460
12380,Cumberland (A),929,3,959,5,941,2,963,6,216079
12700,Dungog (A),989,7,973,7,1027,9,959,6,8975
12730,Edward River (A),957,4,941,4,968,4,947,5,8851
12750,Eurobodalla (A),962,5,938,4,971,4,949,5,37232
12850,Fairfield (C),856,1,896,2,943,2,882,1,198817
12870,Federation (A),963,5,936,4,975,5,923,3,12277
12900,Forbes (A),953,4,937,4,971,4,945,5,9587
12930,Georges River (A),1020,8,1043,9,1000,7,1048,9,146841
12950,Gilgandra (A),907,2,906,2,960,3,928,3,4236
13010,Glen Innes Severn (A),915,2,909,2,942,2,936,4,8836
13310,Goulburn Mulwaree (A),960,5,946,4,980,5,942,4,29609
13340,Greater Hume Shire (A),987,6,969,6,1016,8,974,7,10351
13450,Griffith (C),959,4,943,4,977,5,917,2,25641
13510,Gundagai (A),943,3,926,3,971,4,926,3,11141
13550,Gunnedah (A),956,4,943,4,987,6,927,3,12215
13660,Gwydir (A),941,3,936,4,976,5,964,6,5258
13800,Hawkesbury (C),1028,9,1014,9,1058,10,979,7,64592
13850,Hay (A),937,3,922,3,962,3,924,3,2946
13910,Hilltops (A),949,4,932,3,973,4,937,4,18498
14000,Hornsby (A),1091,10,1115,10,1091,10,1115,10,142667
14100,Hunters Hill (A),1098,10,1143,10,1093,10,1157,10,13999
14170,Inner West (A),1053,10,1097,10,994,7,1124,10,182043
14200,Inverell (A),916,2,904,2,948,3,921,3,16483
14300,Junee (A),942,3,927,3,984,6,914,2,6295
14350,Kempsey (A),888,2,877,1,935,2,891,1,28885
14400,Kiama (A),1064,10,1056,9,1058,10,1062,9,21464
14500,Ku-ring-gai (A),1121,10,1166,10,1132,10,1170,10,118053
14550,Kyogle (A),910,2,905,2,949,3,940,4,8940
14600,Lachlan (A),924,2,922,3,953,3,945,5,6194
14650,Lake Macquarie (C),996,7,979,7,1005,8,967,6,197371
14700,Lane Cove (A),1111,10,1154,10,1070,10,1171,10,36051
14750,Leeton (A),954,4,935,4,975,5,917,2,11168
14850,Lismore (C),954,4,942,4,956,3,966,6,43135
14870,Lithgow (C),923,2,908,2,953,3,893,1,21090
14900,Liverpool (C),952,4,972,6,1008,8,953,5,204326
14920,Liverpool Plains (A),914,2,906,2,958,3,910,2,7687
14950,Lockhart (A),986,6,971,6,1014,8,983,7,3119
15050,Maitland (C),983,6,966,6,1005,8,941,4,77305
15240,Mid-Coast (A),928,3,911,2,955,3,919,3,90303
15270,Mid-Western Regional (A),960,5,942,4,989,6,927,3,24076
15300,Moree Plains (A),917,2,919,3,939,2,934,4,13159
15350,Mosman (A),1115,10,1165,10,1076,10,1188,10,28475
15520,Murray River (A),991,7,969,6,1000,7,971,7,11680
15560,Murrumbidgee (A),961,5,947,5,973,5,957,5,3836
15650,Muswellbrook (A),930,3,917,3,964,4,883,1,16086
15700,Nambucca (A),907,2,896,2,938,2,919,3,19212
15750,Narrabri (A),954,4,938,4,975,5,932,4,13084
15800,Narrandera (A),929,3,919,3,959,3,928,3,5853
15850,Narromine (A),933,3,927,3,966,4,939,4,6444
15900,Newcastle (C),997,7,996,8,967,4,1018,9,155411
15950,North Sydney (A),1108,10,1159,10,1003,7,1195,10,67658
15990,Northern Beaches (A),1092,10,1120,10,1095,10,1110,10,252878
16100,Oberon (A),969,5,951,5,1009,8,933,4,5301
16150,Orange (C),978,6,968,6,983,5,971,7,40344
16200,Parkes (A),940,3,927,3,958,3,936,4,14608
16260,Parramatta (C),1039,9,1063,10,993,6,1080,10,226149
16350,Penrith (C),999,7,988,8,1022,9,948,5,196066
16380,Port Macquarie-Hastings (A),976,6,958,5,985,6,965,6,78539
